S-box 161: rank=12, redundant_rows=0
S-box 162: rank=12, redundant_rows=0
S-box 163: rank=12, redundant_rows=0
S-box 164: rank=12, redundant_rows=0
S-box 165: rank=12, redundant_rows=0
S-box 166: rank=12, redundant_rows=0
S-box 167: rank=12, redundant_rows=0
S-box 168: rank=7, redundant_rows=0
S-box 169: rank=12, redundant_rows=0
S-box 170: rank=12, redundant_rows=0
S-box 171: rank=12, redundant_rows=0
S-box 172: rank=12, redundant_rows=0
S-box 173: rank=12, redundant_rows=0
S-box 174: rank=7, redundant_rows=0
S-box 175: rank=12, redundant_rows=0
S-box 176: rank=12, redundant_rows=0
S-box 177: rank=7, redundant_rows=0
S-box 178: rank=12, redundant_rows=0
S-box 179: rank=12, redundant_rows=0
S-box 180: rank=7, redundant_rows=0
S-box 181: rank=12, redundant_rows=0
S-box 182: rank=7, redundant_rows=0
S-box 183: rank=12, redundant_rows=0
S-box 184: rank=12, redundant_rows=0
S-box 185: rank=12, redundant_rows=0
S-box 186: rank=12, redundant_rows=0
S-box 187: rank=12, redundant_rows=0
S-box 188: rank=12, redundant_rows=0
S-box 189: rank=12, redundant_rows=0
S-box 190: rank=12, redundant_rows=0
S-box 191: rank=12, redundant_rows=0
S-box 192: rank=12, redundant_rows=0
S-box 193: rank=7, redundant_rows=0
S-box 194: rank=12, redundant_rows=0
S-box 195: rank=12, redundant_rows=0
S-box 196: rank=12, redundant_rows=0
S-box 197: rank=12, redundant_rows=0
S-box 198: rank=7, redundant_rows=0
S-box 199: rank=12, redundant_rows=0
S-box 200: rank=7, redundant_rows=0
S-box 201: rank=12, redundant_rows=0
S-box 202: rank=12, redundant_rows=0
S-box 203: rank=12, redundant_rows=0
S-box 204: rank=12, redundant_rows=0
S-box 205: rank=12, redundant_rows=0
S-box 206: rank=12, redundant_rows=0
S-box 207: rank=12, redundant_rows=0
S-box 208: rank=12, redundant_rows=0
S-box 209: rank=12, redundant_rows=0
S-box 210: rank=12, redundant_rows=0
S-box 211: rank=12, redundant_rows=0
S-box 212: rank=12, redundant_rows=0
S-box 213: rank=12, redundant_rows=0
S-box 214: rank=12, redundant_rows=0
S-box 215: rank=12, redundant_rows=0
S-box 216: rank=12, redundant_rows=0
S-box 217: rank=12, redundant_rows=0
S-box 218: rank=12, redundant_rows=0
S-box 219: rank=12, redundant_rows=0
S-box 220: rank=12, redundant_rows=0
S-box 221: rank=12, redundant_rows=0
S-box 222: rank=12, redundant_rows=0
S-box 223: rank=12, redundant_rows=0
S-box 224: rank=12, redundant_rows=0
S-box 225: rank=12, redundant_rows=0
S-box 226: rank=12, redundant_rows=0
S-box 227: rank=12, redundant_rows=0
S-box 228: rank=7, redundant_rows=0
S-box 229: rank=12, redundant_rows=0
S-box 230: rank=12, redundant_rows=0
S-box 231: rank=12, redundant_rows=0
S-box 232: rank=12, redundant_rows=0
S-box 233: rank=12, redundant_rows=0
S-box 234: rank=12, redundant_rows=0
S-box 235: rank=7, redundant_rows=0
S-box 236: rank=12, redundant_rows=0
S-box 237: rank=12, redundant_rows=0
S-box 238: rank=12, redundant_rows=0
S-box 239: rank=12, redundant_rows=0
S-box 240: rank=12, redundant_rows=0
S-box 241: rank=12, redundant_rows=0
S-box 242: rank=12, redundant_rows=0
